token,pool_id,fee,tick_spacing,hooked,ts_sig,fire_cohort,init_block,deployment_rank,n_competing,seed_status,seed_salt,n_swaps,n_mods,n_known_infra_swaps,known_infra_flow,outcome_t3,n_router_swaps_t3,router_like_flow_t3,outcome_t5,n_router_swaps_t5,router_like_flow_t5,outcome_t10,n_router_swaps_t10,router_like_flow_t10,n_known,known_flow,n_unknown_prev_t3,unknown_prev_flow_t3,n_router_like_t3,n_unknown_prev_t5,unknown_prev_flow_t5,n_router_like_t5,n_unknown_prev_t10,unknown_prev_flow_t10,n_router_like_t10,n_other,own_harvest_after_known,own_scale_after_known,foreign_poke_after_known
0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,0x335aee5297eda88f75af358a1cce266507d736f80c0efab7c73ed4d7347736d8,910000,18200,False,False,False,11244171,3,9,SEEDED,138140,27,3,3,True,FLOW_AND_HARVESTED,25,True,FLOW_AND_HARVESTED,25,True,FLOW_AND_HARVESTED,25,True,3,True,22,True,25,22,True,25,22,True,25,2,2,0,0
0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,0x87396db049ec6c5ea5fc7de11f1bd1de2b9ada16efc7c4aafe78af584fd0c24f,905000,18100,False,False,False,11375425,4,9,SEEDED,141766,1,3,1,True,FLOW_AND_HARVESTED,1,True,FLOW_AND_HARVESTED,1,True,FLOW_AND_HARVESTED,1,True,1,True,0,False,1,0,False,1,0,False,1,0,1,0,0
0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,0x1d0d744ded76edf28651b23b97a730768f054c08ea7922fb262aea9cf2e8a922,850000,17000,False,False,False,14786981,5,9,SEEDED,226158,16,4,4,True,FLOW_AND_HARVESTED,16,True,FLOW_AND_HARVESTED,16,True,FLOW_AND_HARVESTED,16,True,4,True,12,True,16,12,True,16,12,True,16,0,2,0,0
0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,0x2e62e8cbcbe765f0f6fdb6b3564a539286aa56a5ed5eec0595f277b5e134502e,997804,19956,False,False,False,15222741,6,9,SEEDED,241658,1,1,1,True,ROUTER_LIKE_ONE_OFF,1,True,ROUTER_LIKE_ONE_OFF,1,True,ROUTER_LIKE_ONE_OFF,1,True,1,True,0,False,1,0,False,1,0,False,1,0,0,0,0
0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,0x95882884f0f15c39bc157878916c4d3ac0cf27ce4e5c7cd6506ba4caf93b8d43,880000,17600,False,False,False,17166164,7,9,SEEDED,299876,1,2,1,True,ROUTER_LIKE_ONE_OFF,1,True,ROUTER_LIKE_ONE_OFF,1,True,ROUTER_LIKE_ONE_OFF,1,True,1,True,0,False,1,0,False,1,0,False,1,0,0,0,0
0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,0x59622cbbe9b2712d1243532a0b4049c98fa639a5563694198cfe4778416f2bd8,800000,16000,False,False,False,18301569,8,9,SEEDED,334987,1,2,0,False,FLOW_AND_HARVESTED,1,True,FLOW_AND_HARVESTED,1,True,FLOW_AND_HARVESTED,1,True,0,False,1,True,1,1,True,1,1,True,1,0,0,0,0
0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,0xd35c1d932c0e98e1a344d47480b6e55de41fd4162d128903a2a4f3325b053591,950000,9500,False,True,False,24791534,9,9,SEEDED,429642,0,1,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0xbf72347bacefe747eaf48b8a66e38babad3020a0,0xb0404733341741866322e197e0f24ce8c45dc3b798cf3018a9a25891d08e9d39,320000,6400,False,False,False,1026832,1,16,SEEDED,198,11,3,0,False,FLOW_AND_HARVESTED,1,True,FLOW_AND_HARVESTED,1,True,FLOW_AND_HARVESTED,1,True,0,False,1,True,1,1,True,1,1,True,1,10,0,0,0
0xbf72347bacefe747eaf48b8a66e38babad3020a0,0x8f06afd4bae5ef7ed46374972acf80be0c9e8cd50b7adfa81d2b957aaa357f4f,500000,10000,False,False,False,2497755,2,16,SEEDED,945,64,13,18,True,FLOW_THEN_SCALED,64,True,FLOW_THEN_SCALED,64,True,FLOW_THEN_SCALED,62,True,18,True,46,True,64,46,True,64,44,True,62,0,0,1,2
0xbf72347bacefe747eaf48b8a66e38babad3020a0,0xf7560e8b5838868baff6f1158d71253d297f64c44bf092fd698b60c90f6f7481,990000,19800,False,False,False,4011735,3,16,SEEDED,1627,7,7,4,True,FLOW_AND_HARVESTED,7,True,FLOW_AND_HARVESTED,7,True,FLOW_AND_HARVESTED,7,True,4,True,3,True,7,3,True,7,3,True,7,0,3,0,0
0xbf72347bacefe747eaf48b8a66e38babad3020a0,0xdc9a485e28f3ddb38a9461f96e67f57dd6e9888142dcdd1eccf7f8bb1d357ec1,350000,7000,False,False,False,4130128,4,16,SEEDED,2163,0,2,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0xbf72347bacefe747eaf48b8a66e38babad3020a0,0x85b08057adb05d4671d5dffbbe7d85051cf21ae4599c367704792bed39219b28,360000,7200,False,False,False,4133697,5,16,SEEDED,2193,13,3,3,True,FLOW_AND_HARVESTED,13,True,FLOW_AND_HARVESTED,12,True,FLOW_AND_HARVESTED,6,True,3,True,10,True,13,9,True,12,3,True,6,1,1,0,0
0xbf72347bacefe747eaf48b8a66e38babad3020a0,0x5fd0e891f87e4e8696ccb5a844b26c53db125b037e63c1d9dfbe3c709174efbc,920000,18400,False,False,False,4190744,6,16,SEEDED,2614,0,2,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0xbf72347bacefe747eaf48b8a66e38babad3020a0,0x413c7938fd3ce538a301ceb78103d61399dfdb2f69119df549828fd6534d9c6b,870000,10000,False,False,False,7112489,7,16,SEEDED,46726,1,2,0,False,ROUTER_LIKE_ONE_OFF,1,True,ROUTER_LIKE_ONE_OFF,1,True,ROUTER_LIKE_ONE_OFF,1,True,0,False,1,True,1,1,True,1,1,True,1,0,0,0,0
0xbf72347bacefe747eaf48b8a66e38babad3020a0,0xa3c298c09dc482668b4b56b7fdf611ddc42ad87ee042b401d2018353a44aa1d9,883690,200,False,False,False,7114058,8,16,SEEDED,46745,4,2,0,False,ROUTER_LIKE_REPEAT,4,True,ROUTER_LIKE_REPEAT,4,True,ROUTER_LIKE_REPEAT,4,True,0,False,4,True,4,4,True,4,4,True,4,0,0,0,0
0xbf72347bacefe747eaf48b8a66e38babad3020a0,0x2790181449c55b5acb27cc3e0e00d37b10867a42b5cf07cf103e5e412e6637d2,600000,12000,False,False,False,8843487,9,16,SEEDED,74830,2,2,0,False,ROUTER_LIKE_REPEAT,2,True,ROUTER_LIKE_REPEAT,2,True,ROUTER_LIKE_REPEAT,2,True,0,False,2,True,2,2,True,2,2,True,2,0,0,0,0
0xbf72347bacefe747eaf48b8a66e38babad3020a0,0x5b2c22762e98d232dac7774414b7ddafb9044a385ff4a2622d04760f4e2d9325,100000,2000,False,False,False,11214325,10,16,SEEDED,137703,240,100,131,True,POOL_POKED_AFTER_FLOW,239,True,POOL_POKED_AFTER_FLOW,234,True,POOL_POKED_AFTER_FLOW,233,True,131,True,108,True,239,103,True,234,102,True,233,6,0,0,20
0xbf72347bacefe747eaf48b8a66e38babad3020a0,0xb86ff93866be00cce0015a9034789bc88395bac22e69b9f999cfd463bb7bfa2d,910000,18200,False,False,False,12445801,11,16,SEEDED,171322,0,2,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0xbf72347bacefe747eaf48b8a66e38babad3020a0,0x48afa9629b0eca5455c80da0043062785b429ecff674274bffcc5a271326356c,100000,200,False,False,False,12992466,12,16,SEEDED,179918,5,4,5,True,ROUTER_LIKE_REPEAT,5,True,ROUTER_LIKE_REPEAT,5,True,ROUTER_LIKE_REPEAT,5,True,5,True,0,False,5,0,False,5,0,False,5,0,0,0,0
0xbf72347bacefe747eaf48b8a66e38babad3020a0,0x72a89a3b89fa64d36e57b8edc2348b06a59dabb5dd4b58972e2fb0ce724a204d,998000,10000,False,False,False,16414160,13,16,SEEDED,272455,0,2,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0xbf72347bacefe747eaf48b8a66e38babad3020a0,0xf7635fcafeb362015000673c029d79d60de8f179c10a56f346bee81dbad2bd38,880000,17600,False,False,False,20370166,14,16,SEEDED,368771,1,1,1,True,ROUTER_LIKE_ONE_OFF,1,True,ROUTER_LIKE_ONE_OFF,1,True,ROUTER_LIKE_ONE_OFF,1,True,1,True,0,False,1,0,False,1,0,False,1,0,0,0,0
0xbf72347bacefe747eaf48b8a66e38babad3020a0,0x8a7dc4eb372749456db3753bcf87252c51811002af0f965498a87e0a0a3c056c,930000,9300,False,True,False,25496415,15,16,SEEDED,436164,2,1,0,False,ROUTER_LIKE_REPEAT,2,True,ROUTER_LIKE_REPEAT,2,True,ROUTER_LIKE_REPEAT,2,True,0,False,2,True,2,2,True,2,2,True,2,0,0,0,0
0xbf72347bacefe747eaf48b8a66e38babad3020a0,0xb2079808f1212e89d80caad976a4d75dbb17149e931304bba16ab8209a0b006f,950123,200,False,False,False,25893398,16,16,SEEDED,439966,0,2,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0xf4c450c1570c2dbda91de1ed2e39995a15028c97,0x137b0581a4e0fdaad9a12b63822227788140b178f2a795f48c67e5c1c29df08e,350000,7000,False,False,False,1134945,1,7,SEEDED,252,68,10,5,True,FLOW_AND_HARVESTED,64,True,FLOW_AND_HARVESTED,63,True,FLOW_AND_HARVESTED,44,True,5,True,59,True,64,58,True,63,39,True,44,5,2,0,0
0xf4c450c1570c2dbda91de1ed2e39995a15028c97,0x2a602399080653561641a2e81250a95aa831571d8beaec0b0634ad8575a263f5,890000,17800,False,False,False,4138700,2,7,SEEDED,2244,0,2,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0xf4c450c1570c2dbda91de1ed2e39995a15028c97,0x4c7b1eebb3ff7cd90d39d06e0c166dd0b58b9558761871962d4f60cf3cd0c1c8,850000,17000,False,False,False,5030999,3,7,SEEDED,6372,1,1,0,False,ROUTER_LIKE_ONE_OFF,1,True,ROUTER_LIKE_ONE_OFF,1,True,ROUTER_LIKE_ONE_OFF,1,True,0,False,1,True,1,1,True,1,1,True,1,0,0,0,0
0xf4c450c1570c2dbda91de1ed2e39995a15028c97,0x84f8e7b190249740fc9516e7fdee9b59fb1ad318d9ea7b4910bb48c64bed476d,870000,10000,False,False,False,7134911,4,7,SEEDED,47201,0,2,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0xf4c450c1570c2dbda91de1ed2e39995a15028c97,0xe85f5c48f949b6e41f4cbf0bf89521b97bbc7703450a8dadf16287fe5fe96edb,883690,200,False,False,False,7135161,5,7,SEEDED,47203,10,3,7,True,FLOW_AND_HARVESTED,10,True,FLOW_AND_HARVESTED,10,True,FLOW_AND_HARVESTED,10,True,7,True,3,True,10,3,True,10,3,True,10,0,1,0,0
0xf4c450c1570c2dbda91de1ed2e39995a15028c97,0x76a52d60e0e0a9bf43ce598c7d509885a706573eaaa5a530168fd6ee9290e0b8,910000,18200,False,False,False,13418181,6,7,SEEDED,186677,7,6,3,True,FLOW_AND_HARVESTED,7,True,FLOW_AND_HARVESTED,7,True,FLOW_AND_HARVESTED,7,True,3,True,4,True,7,4,True,7,4,True,7,0,4,0,0
0xf4c450c1570c2dbda91de1ed2e39995a15028c97,0x3c8997e21cf1f665bbfddd019833d107102f4673bfaf32068c09281addc20716,998000,10000,False,False,False,16447082,7,7,SEEDED,273411,0,2,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0x822cc93ffd030293e9842c30bbd678f530701867,0x5a79e25a9abaf16a8511eda195089ada50429fb3306d1bc31fbd16b7cf3e03f0,950000,19000,False,False,False,1152554,1,13,SEEDED,282,0,2,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0x822cc93ffd030293e9842c30bbd678f530701867,0x4afb9b1e7fa9dfcd9e3181530b713c8bd150e8505e7a0ab0b593cd22ac53733c,900000,18000,False,False,False,1589969,2,13,SEEDED,597,63,8,15,True,FLOW_AND_HARVESTED,62,True,FLOW_AND_HARVESTED,62,True,FLOW_AND_HARVESTED,61,True,15,True,47,True,62,47,True,62,46,True,61,1,5,2,0
0x822cc93ffd030293e9842c30bbd678f530701867,0x864e3dbf181bdd57016f55bc313c27afb538d87d5a3eb3eb367a4a91cd4b81ea,910000,18200,False,False,False,11246569,3,13,SEEDED,138177,30,3,1,True,FLOW_AND_HARVESTED,30,True,FLOW_AND_HARVESTED,30,True,FLOW_AND_HARVESTED,30,True,1,True,29,True,30,29,True,30,29,True,30,0,1,0,0
0x822cc93ffd030293e9842c30bbd678f530701867,0x5b67ff048eccd28b01d2cba6edbc7d8de55a424f33b3fabcc7c81269ded9fea6,998066,19961,False,False,False,15225237,4,13,SEEDED,241760,2,1,1,True,ROUTER_LIKE_REPEAT,2,True,ROUTER_LIKE_REPEAT,2,True,ROUTER_LIKE_REPEAT,2,True,1,True,1,True,2,1,True,2,1,True,2,0,0,0,0
0x822cc93ffd030293e9842c30bbd678f530701867,0xd877cf59362306f5a0f1e2a23162698367fa70f5fb955b4cc6d1ae43b1cfd5b7,880000,17600,False,False,False,17165558,5,13,SEEDED,299853,12,3,4,True,FLOW_AND_HARVESTED,12,True,FLOW_AND_HARVESTED,12,True,FLOW_AND_HARVESTED,12,True,4,True,8,True,12,8,True,12,8,True,12,0,1,1,0
0x822cc93ffd030293e9842c30bbd678f530701867,0x67cfcd851069f28c8bc77222f48a0efa8139b3e58e8576afbde1d8244b168dcd,500000,10000,False,False,False,18331342,6,13,SEEDED,336055,11,10,6,True,FLOW_AND_HARVESTED,11,True,FLOW_AND_HARVESTED,11,True,FLOW_AND_HARVESTED,11,True,6,True,5,True,11,5,True,11,5,True,11,0,4,0,3
0x822cc93ffd030293e9842c30bbd678f530701867,0x64b5407f5e4561dcc055294d99b4ad2220df980e2cd6d4e9dee00121ec9903d5,800000,16000,False,False,False,18346218,7,13,SEEDED,336446,0,1,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0x822cc93ffd030293e9842c30bbd678f530701867,0x050490714f089045ece4e320b1311fc2e9044130289fe8ce8896db6fe137361d,400000,8000,False,False,False,18363299,8,13,SEEDED,336917,2,2,0,False,ROUTER_LIKE_REPEAT,2,True,ROUTER_LIKE_REPEAT,2,True,SWAPPED_NON_ROUTER,0,False,0,False,2,True,2,2,True,2,0,False,0,0,0,0,0
0x822cc93ffd030293e9842c30bbd678f530701867,0x0555dc93cec2326cb5703687a8755dd708c3e38e975d3cb71c4584d64b468f55,100000,2000,False,False,False,18364932,9,13,SEEDED,336940,277,29,32,True,FLOW_THEN_SCALED,243,True,FLOW_THEN_SCALED,243,True,FLOW_THEN_SCALED,209,True,32,True,211,True,243,211,True,243,177,True,209,34,0,2,9
0x822cc93ffd030293e9842c30bbd678f530701867,0x9ec3444be2ce4ad940d8bc50b96600cfb9f21f0ac6b6e2776624146f952a1e89,150000,3000,False,False,False,18367979,10,13,SEEDED,337004,4,4,1,True,ROUTER_LIKE_REPEAT,4,True,ROUTER_LIKE_REPEAT,4,True,ROUTER_LIKE_REPEAT,4,True,1,True,3,True,4,3,True,4,3,True,4,0,0,0,0
0x822cc93ffd030293e9842c30bbd678f530701867,0xb87cfb662264a0859b0c2f0f4f281e936bbfdc43a0bc3f08214acbf2b66f076d,100000,1000,False,True,False,18370236,11,13,SEEDED,337052,73,15,11,True,FLOW_AND_HARVESTED,73,True,FLOW_AND_HARVESTED,73,True,FLOW_AND_HARVESTED,69,True,11,True,62,True,73,62,True,73,58,True,69,0,13,0,0
0x822cc93ffd030293e9842c30bbd678f530701867,0xef64f4b370f662885f0659b0ea53e0ed32c26f63c809dd527d92def225256015,800000,8000,False,True,False,21512183,12,13,SEEDED,383079,0,1,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0x822cc93ffd030293e9842c30bbd678f530701867,0x91ccca1853d6deec1999eac712e067db0e2ff033c42aea12fe78b3104523ac9c,950000,9500,False,True,False,24893001,13,13,SEEDED,430411,0,1,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0xf67b0df65d6ba77b5154326518745f284aa12f70706c182db85e6523adc8e509,950000,19000,False,False,False,1153115,1,13,SEEDED,303,28,4,28,True,FLOW_AND_HARVESTED,28,True,FLOW_AND_HARVESTED,28,True,FLOW_AND_HARVESTED,28,True,28,True,0,False,28,0,False,28,0,False,28,0,1,0,0
0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0xf66c7cfde16fe0b6ef038ae0fc9c0f19913ad33d223cac6a7c9fd068f69f8e0f,900000,18000,False,False,False,11369262,2,13,SEEDED,141524,90,5,72,True,FLOW_AND_HARVESTED,90,True,FLOW_AND_HARVESTED,90,True,FLOW_AND_HARVESTED,88,True,72,True,18,True,90,18,True,90,16,True,88,0,4,0,0
0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0xbe61ca568ac8cb71d67b4a34a5e978f45ace14c2c561166b07975907e30fb5ea,940000,18800,False,False,False,12561720,3,13,SEEDED,173888,27,6,26,True,FLOW_AND_HARVESTED,27,True,FLOW_AND_HARVESTED,27,True,FLOW_AND_HARVESTED,27,True,26,True,1,True,27,1,True,27,1,True,27,0,4,0,0
0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0xb0aaeeee5224544d105fc43e8784459d837b9d2d2beb978b024f69fffa34a924,920000,18400,False,False,False,14665438,4,13,SEEDED,219721,0,2,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0x4bc416619e3316f94b18cf67c2839b59310d50cf6b790c11e0e32928d422d53e,996140,19923,False,False,False,15210461,5,13,SEEDED,241153,48,5,48,True,FLOW_AND_HARVESTED,48,True,FLOW_AND_HARVESTED,48,True,FLOW_AND_HARVESTED,48,True,48,True,0,False,48,0,False,48,0,False,48,0,2,0,0
0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0xc381a3f6e114ca315eb0e853b2db635ba228d498d950a03c0f3100cf2cd9c3cc,976540,200,False,False,False,16815980,6,13,SEEDED,286151,0,2,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0xe8e7a8df858d1985e346e4d9e2f9c7464a91473668871a767d09ed8995c327f1,800000,16000,False,False,False,16949942,7,13,SEEDED,289690,0,1,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0xb09d82eabcf1e94572b0e829747059563d425df5cdd1110d5c8a5480a2ec7402,880000,17600,False,False,False,17058161,8,13,SEEDED,294495,2,1,0,False,ROUTER_LIKE_REPEAT,2,True,ROUTER_LIKE_REPEAT,2,True,ROUTER_LIKE_ONE_OFF,1,True,0,False,2,True,2,2,True,2,1,True,1,0,0,0,0
0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0xd733cdb876537020e21963ccd1973f5ec3231d7fba607810708481482a91acc0,500000,10000,False,False,False,17506850,9,13,SEEDED,313281,5,4,5,True,FLOW_AND_HARVESTED,5,True,FLOW_AND_HARVESTED,5,True,FLOW_AND_HARVESTED,5,True,5,True,0,False,5,0,False,5,0,False,5,0,3,0,0
0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0x8fd76f7ba096540598840c65ebdd475416bdccb6f9f0aceaf56cabc79c83c5fc,550000,11000,False,False,False,18135713,10,13,SEEDED,329226,0,1,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0xc81fc0f54311fb330b9f3e72f65d6547d142059b039668a9ac9441d5b1ae3f42,400000,8000,False,False,False,18141069,11,13,SEEDED,329300,7,4,4,True,FLOW_AND_HARVESTED,7,True,FLOW_AND_HARVESTED,7,True,FLOW_AND_HARVESTED,7,True,4,True,3,True,7,3,True,7,3,True,7,0,3,0,0
0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0x45526a307fdb7421ea047f02e32cb97d2e1083c7d25577ba7ea17a7129e51512,800000,8000,False,True,False,21498679,12,13,SEEDED,382947,0,1,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0x156e175dd063a8ce274c50654ef40e0032b3fbcf,0x8195b7ed3f868b1b848fb1fc970d1e6c5ffa6faf78ffd83cbd99614662c784ea,930000,9300,False,True,False,24894329,13,13,SEEDED,430430,0,1,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0xeb30663bdff0622ef4e4e5cbb4e975f19f33f51d,0x77d7d478dd79e9ea7150b2e42eace394fcb825d9a5a31c89e036136e953b8ecd,950000,19000,False,False,False,1153255,1,5,SEEDED,308,2,2,2,True,ROUTER_LIKE_REPEAT,2,True,ROUTER_LIKE_REPEAT,2,True,ROUTER_LIKE_REPEAT,2,True,2,True,0,False,2,0,False,2,0,False,2,0,0,0,0
