tx_hash,block,timestamp,route_shape,n_v4_hops,tx_from,tx_from_type,tx_from_population_frequency,swap_sender,swap_sender_population_frequency,v4_input_token,v4_input_token_address,v4_input_amount,v4_output_token,v4_output_token_address,v4_output_amount,economic_input_source,economic_input_source_type,physical_input_source_amount,economic_output_recipient,economic_output_recipient_type,physical_output_recipient_amount,input_source_equals_tx_from,output_returns_to_input_source,position_manager_touched,universal_router_touched,permit2_touched,zeroex_allowanceholder_touched,classification,confidence,classification_reason
0x135bd717c3349de7177b85bdc54da7f302b9f20b3f31114010891e39108e4b5f,17299899,2026-07-23T12:49:17+00:00,FIRE/USDG@25000 -> FIRE/USDG@450000 -> FIRE/USDG@500000,3,0x35f17f653000b663c3f28667bcd68b2e17d460d7,EOA,3,0x1d4b86491ec211257cbedd77a4380a7494624eff,17,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,18421.108105528225337389,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,10.351809,0x35f17f653000b663c3f28667bcd68b2e17d460d7,EOA,18421.108105528225337389,0x00000000000014aa86c5d3c41765bb24e11bd701,CONTRACT,10.351809,True,False,False,False,False,False,DIRECT_USER_SELL,HIGH,FIRE economic source is the transaction sender.
0xa97ad7f27d90da24c92f43509caac6d31a648688eae53f8eb698c43909a8d938,17299663,2026-07-23T12:48:53+00:00,ETH/FIRE@3000 -> FIRE/USDG@500000,2,0xeeef618a70e663813331892ee129709845570a1f,EOA,13,0xa633c73658857d5241fe21d43f854a82e2d0592c,26,ETH,0x0000000000000000000000000000000000000000,0.003493923201597684,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,6.905387,0xa633c73658857d5241fe21d43f854a82e2d0592c,CONTRACT,0.003529215355149175,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,CONTRACT,6.905387,False,False,False,False,False,False,OTHER_ONE_WAY_ROUTE,MEDIUM,One-way route does not use FIRE as its economic V4 input.
0x630c9b30fa769998cca874382f6ce605547baff0d96be7a5f15a2778cb2bd549,17297948,2026-07-23T12:46:01+00:00,FIRE/USDG@25000 -> FIRE/USDG@500000 -> FIRE/USDG@50100 -> FIRE/USDG@450000 -> Index/USDG@9500,5,0x35f17f653000b663c3f28667bcd68b2e17d460d7,EOA,3,0x1d4b86491ec211257cbedd77a4380a7494624eff,17,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,20000,Index,0x56910d4409f3a0c78c64dd8d0545ff0705389870,1607.229734823383987075,0x35f17f653000b663c3f28667bcd68b2e17d460d7,EOA,20000,0x8fb79468b6273de01370f01d0ba7784c1753a820,EOA,1607.229734823383987075,True,False,False,False,False,False,DIRECT_USER_SELL,HIGH,FIRE economic source is the transaction sender.
0x01db8a735a57fb324ebe09bbdf29dae1e3dd51d9224019b363d984cdf2a9ae09,17963321,2026-07-24T07:18:05+00:00,ETH/FIRE@3000 -> FIRE/USDG@500000,2,0xeeef618a70e663813331892ee129709845570a1f,EOA,13,0xa633c73658857d5241fe21d43f854a82e2d0592c,26,ETH,0x0000000000000000000000000000000000000000,0.004459605982533253,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,8.909087,0xa633c73658857d5241fe21d43f854a82e2d0592c,CONTRACT,0.004504652507609346,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,CONTRACT,8.909087,False,False,False,False,False,False,OTHER_ONE_WAY_ROUTE,MEDIUM,One-way route does not use FIRE as its economic V4 input.
0x203f02389c183e2bc468da547fc60172b995b1f0ae25a73356fa8ab0751b1e08,18275319,2026-07-24T15:59:45+00:00,ETH/FIRE@3000 -> FIRE/USDG@400000 -> USDG/VIRTUAL@3000,3,0xb4864f7f85eb2fdbd58b4293a2b9bd684fb13336,EOA,9,0xa633c73658857d5241fe21d43f854a82e2d0592c,26,ETH,0x0000000000000000000000000000000000000000,0.007353055632171868,VIRTUAL,0xc6911796042b15d7fa4f6cde69e245ddcd3d9c31,42.879301883939944023,0xa633c73658857d5241fe21d43f854a82e2d0592c,CONTRACT,0.007427328921385725,0xd95e8e2cd04c207625c6f23c974d365a5f3a91d3,CONTRACT,42.879301883939944023,False,False,False,False,False,False,OTHER_ONE_WAY_ROUTE,MEDIUM,One-way route does not use FIRE as its economic V4 input.
0x4666c008a31e451e8d3c630dca2bbc42bc05f0cc3c9ad314b5c335bd4f0cf1a2,18275319,2026-07-24T15:59:45+00:00,ETH/FIRE@3000 -> FIRE/USDG@500000 -> USDG/VIRTUAL@3000,3,0xe858582b200ed580c840b8c24f37560a68406584,EOA,1,0xa633c73658857d5241fe21d43f854a82e2d0592c,26,ETH,0x0000000000000000000000000000000000000000,0.040207342408649278,VIRTUAL,0xc6911796042b15d7fa4f6cde69e245ddcd3d9c31,198.354121259071775478,0xa633c73658857d5241fe21d43f854a82e2d0592c,CONTRACT,0.040613477180453816,0x851d1b0342d2257a4172826b68221d2366c1c6b5,CONTRACT,198.354121259071775478,False,False,False,False,False,False,OTHER_ONE_WAY_ROUTE,MEDIUM,One-way route does not use FIRE as its economic V4 input.
0x70b1124c104e7f8dfe01737b5544dbecc861c3f25cf1bd56c46baf973971292f,18278116,2026-07-24T16:04:25+00:00,FIRE/USDG@500000,1,0x43370308b53e3611521ba48e2f7632a5644d7b1f,EOA,2,0x1d4b86491ec211257cbedd77a4380a7494624eff,17,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,4045.0592960165,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,2.544418,0x95f44a617172de3938240a2d0a0f52df5dbd8f48,EOA_7702,4045.0592960165,0x4cd00e387622c35bddb9b4c962c136462338bc31,CONTRACT,2.544418,False,False,False,False,False,False,RFQ_INTENT_SETTLEMENT,MEDIUM,Distinct user-like wallet supplies FIRE while another account submits the transaction.
0x6c6b4aaa9824a3d21e7c0cea6b8310a1499f5d1f518e9cf7de9b8a1c8f9e4d08,18288047,2026-07-24T16:21:00+00:00,FIRE/USDG@500000,1,0x433700890211c1c776c391d414cffd38efdd1811,EOA,1,0x8f10b468b06c6fd214b65f87778827f7d113f996,5,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,4657.8328240988,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,2.854402,0x12eed01bbdeff4848296bfc608dedacbf4813902,EOA_7702,4657.8328240988,0x4cd00e387622c35bddb9b4c962c136462338bc31,CONTRACT,2.854402,False,False,False,False,False,False,RFQ_INTENT_SETTLEMENT,MEDIUM,Distinct user-like wallet supplies FIRE while another account submits the transaction.
0xd9e13b883b337272b5fe7116a77c1cce3aab2b25bd5be1328633090937c46d85,18355596,2026-07-24T18:13:43+00:00,ETH/FIRE@3000 -> FIRE/USDG@400000 -> WETH/USDG@200,3,0x718a74deadeb8bdcbcbf2fd0e228f4b41b92cab7,EOA,2,0x4c4353e0d893c9d3114b3ce1d9e4b802e687ad0d,4,ETH,0x0000000000000000000000000000000000000000,0.004808907469806715,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0.006621460556477311,0x0bd7d308f8e1639fab988df18a8011f41eacad73,INFRASTRUCTURE,0.004857482292734055,0x2185964d3b387461ef79c1841cadcfc4ea5ed639,EOA,0.001763978263743256,False,False,False,False,False,False,OTHER_ONE_WAY_ROUTE,MEDIUM,One-way route does not use FIRE as its economic V4 input.
0x196f54a32b18ed5f42bf93c85c76bffbb0fa7d979dc8fa5a53260104d097b929,18349429,2026-07-24T18:03:27+00:00,ETH/FIRE@3000 -> FIRE/USDG@400000,2,0xdf465f1a0ec31f5d14e8c61179b71e382f97e794,EOA,1,0x4c4353e0d893c9d3114b3ce1d9e4b802e687ad0d,4,ETH,0x0000000000000000000000000000000000000000,0.003477340141104396,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,8.038471,0x0bd7d308f8e1639fab988df18a8011f41eacad73,INFRASTRUCTURE,0.003512464788994339,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,CONTRACT,8.038471,False,False,False,False,False,False,OTHER_ONE_WAY_ROUTE,MEDIUM,One-way route does not use FIRE as its economic V4 input.
0xa61be5392ead1d2f84d2e9088f3312f8dbc91a029bb41df80361aac0223fbcec,18349429,2026-07-24T18:03:27+00:00,ETH/FIRE@3000 -> FIRE/USDG@500000,2,0x95d5a1aa091655dbb5b61cf011b3288ac2f79f92,EOA,2,0xa633c73658857d5241fe21d43f854a82e2d0592c,26,ETH,0x0000000000000000000000000000000000000000,0.006848276737347512,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,13.536994,0xa633c73658857d5241fe21d43f854a82e2d0592c,CONTRACT,0.006917451249845971,0x33eabd63853e74ff70d8b89982dfb5bc3eb0a189,EOA,0.647444,False,False,False,False,False,False,OTHER_ONE_WAY_ROUTE,MEDIUM,One-way route does not use FIRE as its economic V4 input.
0x13976748c9ec47f275cf18ed6261210d8c36624e6fba3344a21b65d6fd4ff9d1,18349880,2026-07-24T18:04:12+00:00,FIRE/USDG@500000,1,0x4337011463ef6bd863e47e7b5e743d2522261131,EOA,1,0x1d4b86491ec211257cbedd77a4380a7494624eff,17,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,4210.894902325255219588,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,2.939952,0x85c857ee7bf7c23b0f463b1c0e130f408b34e9eb,EOA_7702,4210.894902325255219588,0x4cd00e387622c35bddb9b4c962c136462338bc31,CONTRACT,2.939952,False,False,False,False,False,False,RFQ_INTENT_SETTLEMENT,MEDIUM,Distinct user-like wallet supplies FIRE while another account submits the transaction.
0x7228a91562d54ce26e73875288b1538ada3317fbdcce9cc194159c7f24a5959d,18355596,2026-07-24T18:13:43+00:00,ETH/FIRE@3000 -> FIRE/USDG@500000 -> WETH/USDG@200,3,0x718a74deadeb8bdcbcbf2fd0e228f4b41b92cab7,EOA,2,0x4c4353e0d893c9d3114b3ce1d9e4b802e687ad0d,4,ETH,0x0000000000000000000000000000000000000000,0.012131608204535984,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0.013597027201020094,0x0bd7d308f8e1639fab988df18a8011f41eacad73,INFRASTRUCTURE,0.012254149701551498,0x2185964d3b387461ef79c1841cadcfc4ea5ed639,EOA,0.001342877499468596,False,False,False,False,False,False,OTHER_ONE_WAY_ROUTE,MEDIUM,One-way route does not use FIRE as its economic V4 input.
0x5343f529dde83de5a69f167746ef76f95f9350fe3a2c7e1f663e5caf9e71f257,18701871,2026-07-25T03:52:31+00:00,FIRE/USDG@500000,1,0x4337007ab182ebe9cdb0bc4b96734c32176d44cc,EOA,2,0x1d4b86491ec211257cbedd77a4380a7494624eff,17,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,9850.28198233373848904,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,5.17913,0xdc7e7358922826eaeb11f6ad0cbe3c109d96e705,EOA_7702,9850.28198233373848904,0x4cd00e387622c35bddb9b4c962c136462338bc31,CONTRACT,5.17913,False,False,False,False,False,False,RFQ_INTENT_SETTLEMENT,MEDIUM,Distinct user-like wallet supplies FIRE while another account submits the transaction.
0x1347148cb39ca5001db1b7be88e91c25134e8bf2fa4920fdfd6b6ff450fe58ee,18362149,2026-07-24T18:24:41+00:00,FIRE/USDG@500000,1,0x4337026d731283f9917fa3c9194d74809bfbec26,EOA,1,0x1d4b86491ec211257cbedd77a4380a7494624eff,17,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,6169.696621947221570347,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,3.792264,0xfea12f8f88faf484c0c74818f48b6a688c549d2d,EOA_7702,6169.696621947221570347,0x4cd00e387622c35bddb9b4c962c136462338bc31,CONTRACT,3.792264,False,False,False,False,False,False,RFQ_INTENT_SETTLEMENT,MEDIUM,Distinct user-like wallet supplies FIRE while another account submits the transaction.
0x036c9da13f534059d5feb064f85e0c069caa48f3b157271b31ccd373406c8a29,20021264,2026-07-26T16:40:02+00:00,FIRE/USDG@400000,1,0x4337019d937ebcbd73dd750072d86c1ce664b350,EOA,1,0x1d4b86491ec211257cbedd77a4380a7494624eff,17,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,4631.819918130973597053,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,2.334657,0x6de10fca0e47549a78d1527573c5d42a5f18f15a,EOA_7702,4631.819918130973597053,0x4cd00e387622c35bddb9b4c962c136462338bc31,CONTRACT,2.334657,False,False,False,False,False,False,RFQ_INTENT_SETTLEMENT,MEDIUM,Distinct user-like wallet supplies FIRE while another account submits the transaction.
0x08e50bfda808b7991599da01be574023be05212e60225203e5d1b8228b96c660,19687264,2026-07-26T07:21:38+00:00,FIRE/USDG@400000,1,0x4337004ec9c1417f1c7a26ebd4b4fbed6acf9e5d,EOA,1,0x1d4b86491ec211257cbedd77a4380a7494624eff,17,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,6277.083525423276633932,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,3.323093,0x67b142cf3fcbf2975e29940716ddb411cc85a496,EOA_7702,6277.083525423276633932,0x4cd00e387622c35bddb9b4c962c136462338bc31,CONTRACT,3.323093,False,False,False,False,False,False,RFQ_INTENT_SETTLEMENT,MEDIUM,Distinct user-like wallet supplies FIRE while another account submits the transaction.
0x655f24cffb634f7149ebe98a3b51834b234b933b9f9be86ad35d018b43c82c26,19411729,2026-07-25T23:40:30+00:00,FIRE/USDG@500000,1,0xe71411ebb40224f0043d21ee440829156f4fab0a,EOA_7702,3,0x8876789976decbfcbbbe364623c63652db8c0904,11,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,2543,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,1.305911,0xe71411ebb40224f0043d21ee440829156f4fab0a,EOA_7702,2543,0xe71411ebb40224f0043d21ee440829156f4fab0a,EOA_7702,1.305911,True,True,False,True,True,False,DIRECT_USER_SELL,HIGH,FIRE economic source is the transaction sender.
0x08cd4620309c75d71b3b082eeb42b0827a7c1d7976872fdedbc2f7b9e748f213,19687599,2026-07-26T07:22:12+00:00,FIRE/USDG@500000 -> FIRE/USDG@450000,2,0xfad4c8f1e71e4c56b87733bd916ff7cff46c6c29,EOA,1,0x8876789976decbfcbbbe364623c63652db8c0904,11,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,24369,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,12.039928,0xfad4c8f1e71e4c56b87733bd916ff7cff46c6c29,EOA,24369,0xfad4c8f1e71e4c56b87733bd916ff7cff46c6c29,EOA,12.039928,True,True,False,True,True,False,DIRECT_USER_SELL,HIGH,FIRE economic source is the transaction sender.
0x159c64034d5948d14b90f97676149c33a011450b07ee183bb126ea07076eb581,20144334,2026-07-26T20:05:24+00:00,ETH/FIRE@3000 -> FIRE/USDG@500000,2,0xeeef618a70e663813331892ee129709845570a1f,EOA,13,0xa633c73658857d5241fe21d43f854a82e2d0592c,26,ETH,0x0000000000000000000000000000000000000000,0.005219581215386848,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,10.443262,0xa633c73658857d5241fe21d43f854a82e2d0592c,CONTRACT,0.005272304257966513,0x33eabd63853e74ff70d8b89982dfb5bc3eb0a189,EOA,0.364078,False,False,False,False,False,False,OTHER_ONE_WAY_ROUTE,MEDIUM,One-way route does not use FIRE as its economic V4 input.
0x64fa0aa1c397a6b32f8bdff2c53a9bb079e8ce156b5418351aa19d9b8c41e791,20098837,2026-07-26T18:49:27+00:00,FIRE/USDG@400000,1,0x433702948d7be4201a2bcee6c349ad807c547a5d,EOA,1,0x8f10b468b06c6fd214b65f87778827f7d113f996,5,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,5201.553144158262515977,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,2.401443,0x40ed225bdcb060947f6887fcbb811c6d320e6bce,EOA_7702,5201.553144158262515977,0x4cd00e387622c35bddb9b4c962c136462338bc31,CONTRACT,2.401443,False,False,False,False,False,False,RFQ_INTENT_SETTLEMENT,MEDIUM,Distinct user-like wallet supplies FIRE while another account submits the transaction.
0xc9ad3062f9b616ef1b1d1f668fed160c1fed586ca38e50519434bf327a927489,20354494,2026-07-27T01:56:41+00:00,ETH/FIRE@3000 -> FIRE/USDG@500000 -> WETH/USDG@200,3,0xb4864f7f85eb2fdbd58b4293a2b9bd684fb13336,EOA,9,0xa633c73658857d5241fe21d43f854a82e2d0592c,26,ETH,0x0000000000000000000000000000000000000000,0.067982579930528438,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0.158353545798430823,0xa633c73658857d5241fe21d43f854a82e2d0592c,CONTRACT,0.068669272657099432,,,0,False,False,False,False,False,False,OTHER_ONE_WAY_ROUTE,MEDIUM,One-way route does not use FIRE as its economic V4 input.
0xa7572b706ba4e0e23fe3fcb2dcb278da6ce2d46142f80cd381aa1990da44b9bd,20365401,2026-07-27T02:14:55+00:00,FIRE/USDG@500000,1,0x1983824aa3cf023dfd233115e801520b9d49a258,EOA,1,0xa687b664662b96b180346d699a6d5b42e9b05d31,5,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,6041.599301933559037967,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,3.285166,0x1983824aa3cf023dfd233115e801520b9d49a258,EOA,6041.599301933559037967,0x1983824aa3cf023dfd233115e801520b9d49a258,EOA,3.268741,True,True,False,False,False,False,DIRECT_USER_SELL,HIGH,FIRE economic source is the transaction sender.
0x0e8761a434d77192d252711ea37f5bf9036540543cc62b7b302ac27cb97c98bc,20240624,2026-07-26T22:46:18+00:00,FIRE/USDG@400000,1,0x4337007ab182ebe9cdb0bc4b96734c32176d44cc,EOA,2,0x8f10b468b06c6fd214b65f87778827f7d113f996,5,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,6844.6432008003,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,2.296555,0xa6580ce630320e9e88a32ec5a6fbe154252dd09e,EOA_7702,6844.6432008003,0x4cd00e387622c35bddb9b4c962c136462338bc31,CONTRACT,2.296555,False,False,False,False,False,False,RFQ_INTENT_SETTLEMENT,MEDIUM,Distinct user-like wallet supplies FIRE while another account submits the transaction.
0x7e9eca7202bd22a619e43374079762d3725518751b8b6b337966c5628cb621d1,20148080,2026-07-26T20:11:40+00:00,ETH/FIRE@3000 -> FIRE/USDG@500000,2,0xeeef618a70e663813331892ee129709845570a1f,EOA,13,0xa633c73658857d5241fe21d43f854a82e2d0592c,26,ETH,0x0000000000000000000000000000000000000000,0.005825838403221471,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,11.760721,0xa633c73658857d5241fe21d43f854a82e2d0592c,CONTRACT,0.005884685255779263,0x33eabd63853e74ff70d8b89982dfb5bc3eb0a189,EOA,0.515566,False,False,False,False,False,False,OTHER_ONE_WAY_ROUTE,MEDIUM,One-way route does not use FIRE as its economic V4 input.
0x0be0c91ceeda08475fd42d59888d493ffb781ec44de77cfb71a82e00081f2286,20354494,2026-07-27T01:56:41+00:00,ETH/FIRE@3000 -> FIRE/USDG@400000 -> WETH/USDG@200,3,0xb4864f7f85eb2fdbd58b4293a2b9bd684fb13336,EOA,9,0xa633c73658857d5241fe21d43f854a82e2d0592c,26,ETH,0x0000000000000000000000000000000000000000,0.018703720639262974,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0.05062669999677169,0xa633c73658857d5241fe21d43f854a82e2d0592c,CONTRACT,0.01889264711036664,,,0,False,False,False,False,False,False,OTHER_ONE_WAY_ROUTE,MEDIUM,One-way route does not use FIRE as its economic V4 input.
