token,n_competing_pools,n_with_any_swap,n_with_known_infra_flow,n_with_router_like_flow_t5,min_fee,max_fee,fee_spread,lowest_fee_pool_success,lowest_fee_pool_volume_share,winner_fee,winner_fee_rank,winner_deployment_rank,winner_fee_minus_min_fee,n_distinct_senders,n_known_infra_senders,n_router_like_senders_t5,fire_cohort_pools
0xc5ac3b7664ba1ac915145cc58f50b89ec3a2970d,13,12,12,12,180000,990002,810002,True,0.29473684210526313,490000,3,6,310000,31,5,30,0
0x0b5cf460e8302c179afb19817e99698ba159f164,2,0,0,0,883690,920000,36310,False,,,,,,0,0,0,0
0xd2becfc59726464ff788eeb952a1659149d700b0,2,0,0,0,870000,883690,13690,False,,,,,,0,0,0,0
0x152d0d852034159c691db960f2f22ce2129747ec,2,0,0,0,870000,883690,13690,False,,,,,,0,0,0,0
0x7087a313e933eaa8e26e9b12f99ac6c5de5dbbcd,8,5,4,5,320000,980220,660220,True,0.08968177434908389,350000,3,1,30000,74,5,68,0
0xa8a2bcd2ccb35d70e1a2f24ac3908db84c2b0f50,3,0,0,0,870000,920000,50000,False,,,,,,0,0,0,0
0x74dfaef05d03b5c6daf186e89de52a32d84a0221,2,1,0,1,883690,900000,16310,False,0.0,900000,2,1,16310,1,0,1,0
0xc503ae044c45a618176e367d198d100d2e75b819,3,0,0,0,870000,920000,50000,False,,,,,,0,0,0,0
0x47162135cc8fb253f939bd70e3d2b83075eaeba3,3,3,3,3,500000,920000,420000,True,0.05555555555555555,883690,2,1,383690,9,3,9,2
0xc346936a976ac351054a6b7bac99efbf8f817f0e,2,0,0,0,883690,900000,16310,False,,,,,,0,0,0,0
0x0bc96b90bd9124d6a68e0e3cf09b3ce43baff83c,2,0,0,0,870000,883690,13690,False,,,,,,0,0,0,0
0x14418ca6b695d6b54d7e6accd8ad7c2bfa624e3f,2,0,0,0,883690,900000,16310,False,,,,,,0,0,0,0
0xfda8e07cd682ee62a90fc9356e0f79fe30792842,3,0,0,0,870000,920000,50000,False,,,,,,0,0,0,0
0xa153ad2c19574fd89d2aac34f9d87687000abba3,2,0,0,0,883690,920000,36310,False,,,,,,0,0,0,0
0x044931c2b6dd9938ad482d7e8a89a8f61b9ce524,6,3,1,3,330000,990001,660001,True,0.6,330000,1,6,0,6,1,6,0
0xd4d566b592b6f805a1a0ff702a55552661eb0aec,5,3,0,3,150000,990001,840001,True,0.625,150000,1,4,0,3,0,3,0
0x70913a930bdbd4feb133b901cfa6f89b13666b07,2,1,1,1,870000,883690,13690,True,1.0,870000,1,1,0,1,1,1,0
0x822611abc5c9d2c24e562a3aacc872e590453bc5,1,0,0,0,870000,870000,0,False,,,,,,0,0,0,0
0x1f8574f3e7dd6fab386b20693e28f38413e18c76,2,1,0,1,870000,883690,13690,False,0.0,883690,2,2,13690,1,0,1,0
0xaca296ec79b5c66f6f3109496cc7f6610556af66,1,0,0,0,870000,870000,0,False,,,,,,0,0,0,0
0x67b8a2c1836ccf4e785f6c924a80dedde7d84314,5,0,0,0,870000,990002,120002,False,,,,,,0,0,0,0
0x3133f0e8a3cf06974055c872a8911d5e537cee7d,11,6,5,6,800000,999980,199980,False,0.0,883690,3,2,83690,5,1,5,0
0x9254cca43bc5b23f2f7df04bf44a002b6b575767,2,0,0,0,870000,920000,50000,False,,,,,,0,0,0,0
0x316fb7a2a0729698d61956015705ddafbcfa0a81,20,14,12,14,480000,999900,519900,True,0.15714285714285714,920000,10,1,440000,24,4,24,0
0x4904774e0858a84db8dc2d48186dd98b0564798a,3,1,0,1,883690,990001,106311,False,0.0,990001,3,1,106311,1,0,1,0
0xc50d8ded152449391034644699ecaaa1a9142d52,1,1,0,1,890000,890000,0,True,1.0,890000,1,1,0,1,0,1,0
0x8d67522dad0d3ff260fa31e674540a596acee376,1,0,0,0,100000,100000,0,False,,,,,,0,0,0,0
0xd7d5b0f673862406c7c697e30697a2d3b8eca5aa,2,1,0,1,870000,886540,16540,True,1.0,870000,1,1,0,1,0,1,0
0x1fcbc77a759e502e36836b7787c9a8b4f5da666c,6,6,6,6,450000,990011,540011,True,0.04504504504504504,500000,2,2,50000,19,4,16,0
0xac327bb31113fcf7ed6010bec50c4eca128bcdd0,4,0,0,0,870000,990001,120001,False,,,,,,0,0,0,0
0xacca30f5ecaa9f8a56ed0bf1dc856a2988f30b07,2,0,0,0,883330,990011,106681,False,,,,,,0,0,0,0
0x643a07110335c39ac6b847c875bd6ecf79778b07,1,0,0,0,870000,870000,0,False,,,,,,0,0,0,0
0xecb9d64775915d16c264dad125c55f422a1aeb07,2,0,0,0,870000,886540,16540,False,,,,,,0,0,0,0
0x14222979ff1c611ef63e6ff2193bcf948224c1db,1,0,0,0,870000,870000,0,False,,,,,,0,0,0,0
0xe891ec603a91076abdb2f3be8df8aa0605d4417a,15,5,0,5,140000,992000,852000,True,0.7297297297297297,140000,1,8,0,4,0,4,1
0x7541872e32bb529d7ff11d6c59832269ce33a6ff,22,14,6,14,150000,995000,845000,True,0.0392156862745098,250000,2,18,100000,29,5,26,0
0x43c755eca103dd07e7de074d824f73b561d89b03,2,0,0,0,870000,873690,3690,False,,,,,,0,0,0,0
0xa6386dfa901d9a5a08f1bed4476ec9863f2e1a7f,23,18,15,18,350000,970020,620020,True,0.005494505494505495,500000,6,2,150000,38,5,33,6
0x698400238c6a1448d050cdebd4a830a8772d1f89,5,3,2,3,350000,990001,640001,True,0.9016393442622951,350000,1,3,0,12,3,11,0
0x69b4961ccb0cd1f62d6c4b68204c563a16097fcd,1,0,0,0,999993,999993,0,False,,,,,,0,0,0,0
0x719e412a6c7ee34b2bb5e7f274cbc9ce418c85b7,6,4,0,4,850000,999993,149993,True,0.07142857142857142,886540,3,2,36540,4,0,3,0
0x69725d5f3c4cefe1e02f14b8007ded358dc764cc,6,2,1,2,660600,990001,329401,False,0.0,850000,3,4,189400,3,2,3,1
0x324ed0f9f83dd4b774dc98ac9bf67d9fc000059e,5,0,0,0,870000,999900,129900,False,,,,,,0,0,0,0
0x659d333e7afca625518ce81b471f6bb1667e7ba3,11,7,6,7,350000,990002,640002,False,0.0,500000,3,7,150000,8,3,8,2
0x777f4248dfd889ef018a220214af3bf61010d00b,1,0,0,0,880800,880800,0,False,,,,,,0,0,0,0
0x06426d19c1849ad5969dad205925b06f469a6449,5,0,0,0,850000,990002,140002,False,,,,,,0,0,0,1
0x2319eed5ab02226fe691391101996a65f97c1d41,4,0,0,0,850000,999993,149993,False,,,,,,0,0,0,0
0xb6f15563a0df68ca81abdcfbb177fb7240a3cccc,11,10,5,10,100000,971100,871100,True,0.19310344827586207,550000,4,2,450000,33,3,32,2
0x3f0de0a5e9c19239e7c4b2d212183db642ac2760,3,0,0,0,870000,920000,50000,False,,,,,,0,0,0,0
0x07ed3d777ec886127b319d688f3f85c93aa554c4,4,1,0,1,870000,990001,120001,False,0.0,886540,2,3,16540,2,0,2,0
0x45ddd543140d255c52091fe68ec4d7869833bf9e,4,0,0,0,800000,920000,120000,False,,,,,,0,0,0,0
0x2f4f6f47a6ea85661347509f7ab1d1db61fc1452,8,7,7,7,330000,999000,669000,True,0.22695035460992907,900900,6,2,570900,14,3,14,6
0x074e51e842d76ccba7872b8b58613ae450a24663,11,8,8,8,490000,999999,509999,True,0.029411764705882353,850000,8,2,360000,14,3,13,7
0xcd1c13fba1c44c9e3044bcc1c52f5aa748166b07,2,1,0,1,870000,886540,16540,True,1.0,870000,1,1,0,1,0,1,0
0x8cd58a532c7ce345367f2f9ac14dd53d686ad695,7,7,3,7,100000,920000,820000,True,0.6541353383458647,100000,1,7,0,15,3,15,0
0x09319c5891fc3eb218f367d909363fb5562e28b1,14,7,3,6,200000,998112,798112,False,0.0,330000,2,7,130000,21,3,19,0
0x4e64a2f2f981b46eb99be9c1b5d4a39a324abc98,1,0,0,0,100000,100000,0,False,,,,,,0,0,0,0
0xa3fdcadd1a10ef1a1731e08b87493420d7a61007,32,20,16,20,100000,999000,899000,True,0.4252252252252252,100000,1,4,0,50,5,45,5
0x804e70b50c228b3c8e7b8af2c7f108d7c97d65d7,3,0,0,0,870000,920000,50000,False,,,,,,0,0,0,0
0xc0432405773b7eb7faee1a83d46be28b7929bba3,2,1,0,1,886540,920000,33460,False,0.0,920000,2,2,33460,1,0,1,0
0xfe7e19cbce2f896c6c528bc355baf5a768291e18,20,10,6,10,100000,999134,899134,False,0.0,200000,2,7,100000,38,5,37,2
0x28bb8e3e0923db4bdac29de8b019f7455e109cc2,2,1,0,1,843690,886540,42850,False,0.0,886540,2,1,42850,1,0,1,0
0x4a5b3ade2a0aac212707d97eff315c307ca7833d,9,7,3,7,500000,989998,489998,True,0.5555555555555556,500000,1,5,0,3,1,3,0
0x6752d759b0b635a9ed1d3c7ff46d2ff882aabcdb,3,0,0,0,800000,890000,90000,False,,,,,,0,0,0,0
0x43e7cb9984ad95aa808ac21998cc8d5f909e47af,11,9,9,9,100000,990001,890001,True,0.14217252396166133,150000,2,8,50000,50,5,43,3
0x0adbe911880cad4cdeb7d1f9e8beb5de0ecb6c8f,4,0,0,0,870000,999993,129993,False,,,,,,0,0,0,0
0xc386715dccc61d4afea463c4831caaf9b84989d6,3,1,1,1,870000,999993,129993,True,1.0,870000,1,1,0,4,1,4,1
0x421a006242b1c053cd2504e4b7e36ef9e4d92495,1,0,0,0,886540,886540,0,False,,,,,,0,0,0,0
0xa647dfc0158c5949d49dafe636640b7183e9bba3,6,0,0,0,800000,990001,190001,False,,,,,,0,0,0,2
0x6992e186bcf85a9c3e8f3609378b5fd89cf116d2,3,1,1,1,875300,990001,114701,False,0.0,920000,2,1,44700,2,1,2,2
0x1b27ff6e68a2fd6490543b17c996c109e64eb432,14,8,7,8,450500,999899,549399,True,0.03076923076923077,900000,8,1,449500,17,3,17,3
0x5d86691d883f8962d38fd62136fb761ad3a629ea,5,1,1,1,150000,999992,849992,False,0.0,999992,5,2,849992,1,1,1,0
0x6951cea334625ea333fd2418d4a9a68703edc661,1,0,0,0,886540,886540,0,False,,,,,,0,0,0,0
0x479cc4f626fb4ff3740f8c1cae981fe46a0d3614,2,0,0,0,870000,886540,16540,False,,,,,,0,0,0,0
0x795e727a5fae42b3dd49c9e90492521c1eec19cc,11,7,5,7,499000,990001,491001,True,0.2875,660000,4,4,161000,10,3,10,3
0xbad5cf4dda8dc4b9013e23456c836f0e64a09840,10,9,5,9,100000,986540,886540,True,0.3090909090909091,896540,7,1,796540,23,3,19,0
0x3e0fb9ef5b4660381c11c1339385ae957906bb07,1,1,1,1,870000,870000,0,True,1.0,870000,1,1,0,1,1,1,0
0x7faaf01159bf08c4599b85396f8529e36fbd8888,4,0,0,0,390000,929990,539990,False,,,,,,0,0,0,0
0x37383c2011112730b86f54c32b020e41aaf68f6b,5,1,0,1,843690,990010,146320,True,1.0,843690,1,2,0,2,0,2,0
0x6f9d37d63b3d4cd1b11fcff160de8c55e622a0c3,6,1,0,1,843690,919400,75710,True,1.0,843690,1,2,0,1,0,1,0
0x4bfac5d21aeb8dec52cd023ea10058ff7996dc77,8,1,1,1,250000,989998,739998,True,1.0,250000,1,6,0,4,1,4,0
0x34aebe67b24742b2f63ccb8175f7b275bb48574d,2,0,0,0,870000,989998,119998,False,,,,,,0,0,0,0
0xfa9cee6881e6be5f3bd9a3520fa3bb5fe49d763d,6,0,0,0,840000,999436,159436,False,,,,,,0,0,0,0
0xdfdffcbee38ab535e8a236704071b9c05fe8475e,2,0,0,0,843690,870000,26310,False,,,,,,0,0,0,0
0x31fe4a622f0860f67c3ef74d20cb306f0e9c612c,4,0,0,0,845670,920000,74330,False,,,,,,0,0,0,0
0x3f4528bc418ea3fdfda6b98a2fb910ef3faf616d,1,0,0,0,845670,845670,0,False,,,,,,0,0,0,0
0x2e4edca1702b44c9e8f60377218228e6bf8f3c56,5,1,0,1,660000,920000,260000,False,0.0,919110,4,2,259110,1,0,1,0
0xfedca548a4c57689ba2783f4c279726403406c70,4,0,0,0,845670,999780,154110,False,,,,,,0,0,0,0
0x14b039597b03eeccbbedccc22367c91329b2222b,1,1,1,1,887000,887000,0,True,1.0,887000,1,1,0,1,1,1,0
0x9c58f3816223ff09e2d130062b0d0b7dd331183d,2,0,0,0,845670,870000,24330,False,,,,,,0,0,0,0
0xe42564cc3845b039ad0c9640c08fc62af78fb015,5,0,0,0,845670,999780,154110,False,,,,,,0,0,0,0
0xfdd8724ac396b5d81ad60bf85b52de570ba8bff5,2,0,0,0,845670,870000,24330,False,,,,,,0,0,0,0
0x97c184c83c331ad81e8797a084ca355270a60187,4,0,0,0,845670,999780,154110,False,,,,,,0,0,0,0
0x4a6fd736cde098d2ed412fa456f5514392b6bbbb,6,0,0,0,845670,999780,154110,False,,,,,,0,0,0,0
0xff455f9728c9e00ecb8a40b62198ba47be3969cf,1,0,0,0,100000,100000,0,False,,,,,,0,0,0,0
0xa08c0c768661c66d282e149ce0f77f4f5bcf119a,7,4,2,3,845670,999780,154110,False,0.0,870000,3,4,24330,4,1,3,0
0x43b199526d97e23cfd2f22a316d564a78db29ba9,3,1,0,1,870000,999780,129780,True,1.0,870000,1,1,0,3,0,3,0
0x8ef14dea110003b03a680eca78b399c601b28c7b,1,0,0,0,900001,900001,0,False,,,,,,0,0,0,0
0x096d3b22902f08cd8a8bcdbe0d4e96fd7cfbda2f,1,0,0,0,999780,999780,0,False,,,,,,0,0,0,0
0x8bada99332848483995ef9c61f4bffced1bafeed,6,5,4,5,660600,999911,339311,True,0.23404255319148937,845670,2,4,185070,8,3,8,0
0xf0dff5032c23f8bf6eecc97e1862d3cb09432192,8,5,4,5,500000,999781,499781,True,0.11764705882352941,845670,3,3,345670,6,2,5,0
0xe7860e3ce0386e8277b3eaee73b8e4ce4eeb239b,1,0,0,0,100000,100000,0,False,,,,,,0,0,0,0
0xec1657cc4e03851cde09b24bf3006bbc06271673,5,0,0,0,845670,999781,154111,False,,,,,,0,0,0,0
0xd42842d0f0025af5a93e16ee558c74533d5bc890,5,0,0,0,845670,999781,154111,False,,,,,,0,0,0,0
0x9e00366e55e10e71e4576abafefe3c847cfb6754,7,5,1,5,700000,999781,299781,True,0.18181818181818182,800000,2,5,100000,7,1,7,0
0x026dbbee3559a80f957ef7773e962f1e8b9882ab,5,1,0,1,845670,999781,154111,True,1.0,845670,1,3,0,1,0,1,0
0x0b6fb06b754d07dfd6dbbf495841a86b08f0b59d,6,1,0,1,805100,999781,194681,True,1.0,805100,1,6,0,1,0,1,0
0x89da8188977e10b65818bf3bc04e0b830e697ba3,4,0,0,0,845670,990001,144331,False,,,,,,0,0,0,0
0x18f5739841bb6fd5451a68b93851bc8a1c8e0ba3,2,0,0,0,870000,890000,20000,False,,,,,,0,0,0,0
0x2d93b92681b7f6f40f149d5f78276fb18554074a,6,1,1,1,845670,999781,154111,False,0.0,870000,2,1,24330,1,1,1,0
0x7453223543bbcb27cc024ad4728068a7ce7852f7,13,10,10,10,100000,999781,899781,True,0.18208092485549132,250000,2,9,150000,36,6,33,0
0x2a3794f2de88bd77397adf2bd9479eba937418af,5,0,0,0,845670,999781,154111,False,,,,,,0,0,0,0
0x675a424d3f3780d08f229b1be64bdcb972e0074a,2,2,0,2,845670,890000,44330,True,0.5,890000,2,1,44330,2,0,2,0
0x1f69659debca132c39e15c2b1198cccc9f49099c,1,0,0,0,890000,890000,0,False,,,,,,0,0,0,0
0x44573e36521f37c31a6ee51559c467e045221b07,5,1,0,1,845670,999781,154111,False,0.0,890000,3,5,44330,1,0,1,0
0x2589108e483ec392052a157e62c8b2d3a8e065d5,3,0,0,0,870000,999781,129781,False,,,,,,0,0,0,0
0x719b20be0059d6d72ac6c44b65c76c1ead0bf199,12,7,7,7,500000,999810,499810,True,0.8698630136986302,500000,1,4,0,16,3,15,4
0xc5cd4e3407ceefd481005ee8f410823d948a8e8b,3,3,2,3,500000,900000,400000,True,0.45454545454545453,500000,1,3,0,6,1,6,0
0xe52e5fcbe89688d9e21f6b9b8a85348a3d3a4b0f,3,0,0,0,845670,890000,44330,False,,,,,,0,0,0,0
0xfbfa11594ac16e046a925d46db73a915a92e5fa8,2,1,0,1,845670,890000,44330,False,0.0,890000,2,1,44330,1,0,1,0
0xe2189227da24ab939ad7c22badc42e2af9308bcc,6,4,4,4,850000,990001,140001,True,0.4107142857142857,850000,1,4,0,13,3,13,5
0x26f26c6db29029cb5c09a0e5ea6c3c4b5646d2e3,5,5,2,5,320000,950000,630000,True,0.125,890000,4,1,570000,5,2,4,0
0x38bea5c0f7e4ac83280a602801ce17044d717777,2,0,0,0,845670,890000,44330,False,,,,,,0,0,0,0
0xde872bfd7a80f72d33b6cad0b6b87a4c0eddbb07,3,2,0,2,845670,890000,44330,True,0.5,845670,1,2,0,2,0,2,0
0xf0568863195770965a6d8abb0aa87f4314b80320,26,11,10,11,100000,999999,899999,True,0.5771812080536913,100000,1,7,0,47,6,45,8
0xc9f1c9839b43921aede46607b8685c07351b152c,1,0,0,0,870000,870000,0,False,,,,,,0,0,0,0
0x2fa7d58c1a5af6bf285c130b46a853bee6be33f3,15,12,7,12,100000,990001,890001,True,0.5426356589147286,100000,1,7,0,31,3,26,0
0x36e57597bd62d9bd7b0b61339fe71ec124438bcb,5,0,0,0,500000,999780,499780,False,,,,,,0,0,0,0
0x2b370621e7b00c68cf0e0417adeeaa1fc7287ba3,7,4,4,4,350000,990002,640002,True,0.07407407407407407,420000,3,4,70000,8,3,8,2
0xec528d4ce0b6814645657d2df7dcf4efe528b51d,2,1,1,1,860050,890000,29950,False,0.0,890000,2,1,29950,2,1,2,0
0x3eca429594d1da499d3a03e38aba2b6be48f0989,2,0,0,0,870000,890000,20000,False,,,,,,0,0,0,0
0x1d37035524ef4d56f2c1c67a0fa49c1c6c4045b9,2,1,1,1,860050,890000,29950,False,0.0,890000,2,1,29950,2,1,2,0
0x2953cb829560ef7d986d62b6265c42d02d011dc7,10,7,4,7,300000,999780,699780,True,0.10416666666666667,999780,10,3,699780,7,2,7,2
0x9c4cf0b172c56680c6851084a671b3e7332cdb61,2,0,0,0,870000,999780,129780,False,,,,,,0,0,0,0
0xcfb060e2f6a52516fb62f7122965e22229489eed,1,0,0,0,890000,890000,0,False,,,,,,0,0,0,0
0x837cf2c9ddd9bee8c39cb5e002de9833662dba59,3,0,0,0,870000,999780,129780,False,,,,,,0,0,0,0
